Country / Territory,ISO3,Region,CPI score 2025,Rank 2025,Sources 2025,Standard error 2025,CPI score 2024,Rank 2024,Sources 2024,Standard error 2024,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Finland,FIN,WE/EU,88,2,8,1.81,88.0,2.0,8.0,1.83,87.0,2.0,8.0,1.06,87.0,2.0,8.0,1.19,88.0,1.0,8.0,1.25,85.0,3.0,8.0,1.75,86.0,3.0,8.0,2.92,85.0,3.0,8.0,2.74,85.0,3.0,8.0,2.84,89.0,7.0,1.46,90.0,7.0,1.77,89.0,7.0,2.05,89.0,7.0,1.7,90.0,7.0,3.0
France,FRA,WE/EU,66,27,8,1.83,67.0,25.0,8.0,1.61,71.0,20.0,8.0,0.43,72.0,21.0,8.0,0.64,71.0,22.0,8.0,1.3,69.0,23.0,8.0,1.4,69.0,23.0,8.0,2.28,72.0,21.0,8.0,1.17,70.0,23.0,8.0,1.36,69.0,7.0,2.97,70.0,7.0,2.49,69.0,7.0,2.17,71.0,8.0,2.4,71.0,8.0,2.4
Gabon,GAB,SSA,29,135,8,1.3,27.0,135.0,8.0,1.38,28.0,136.0,6.0,2.32,29.0,136.0,6.0,2.07,31.0,124.0,5.0,2.4,30.0,129.0,6.0,2.35,31.0,123.0,6.0,2.41,31.0,124.0,4.0,3.92,32.0,117.0,4.0,3.22,35.0,4.0,0.97,34.0,4.0,1.65,37.0,4.0,4.19,34.0,5.0,1.5,35.0,5.0,2.1
Gambia,GMB,SSA,37,99,8,2.5,38.0,96.0,7.0,3.19,37.0,98.0,7.0,3.34,34.0,110.0,7.0,3.76,37.0,102.0,8.0,3.38,37.0,102.0,8.0,3.19,37.0,96.0,7.0,5.98,37.0,93.0,6.0,9.44,30.0,130.0,6.0,6.22,26.0,5.0,7.2,28.0,5.0,6.67,29.0,5.0,7.55,28.0,5.0,6.7,34.0,5.0,7.0
Georgia,GEO,ECA,50,56,6,4.31,53.0,53.0,6.0,4.06,53.0,49.0,6.0,3.99,56.0,41.0,6.0,3.03,55.0,45.0,6.0,2.84,56.0,45.0,5.0,3.15,56.0,44.0,5.0,3.84,58.0,41.0,6.0,3.92,56.0,46.0,6.0,3.1,57.0,6.0,3.61,52.0,5.0,6.53,52.0,6.0,6.47,49.0,6.0,6.9,52.0,6.0,6.0
Germany,DEU,WE/EU,77,10,8,1.85,75.0,15.0,8.0,1.36,78.0,9.0,8.0,2.14,79.0,9.0,8.0,2.17,80.0,10.0,8.0,1.76,80.0,9.0,8.0,2.0,80.0,9.0,8.0,3.31,80.0,11.0,8.0,2.49,81.0,12.0,8.0,1.87,81.0,7.0,2.73,81.0,7.0,2.5,79.0,7.0,2.58,78.0,8.0,2.4,79.0,8.0,2.3
Ghana,GHA,SSA,43,76,10,1.54,42.0,80.0,10.0,1.69,43.0,70.0,9.0,1.47,43.0,72.0,9.0,1.43,43.0,73.0,9.0,1.53,43.0,75.0,9.0,1.52,41.0,80.0,9.0,2.76,41.0,78.0,9.0,2.54,40.0,81.0,9.0,2.56,43.0,9.0,2.89,47.0,8.0,2.82,48.0,8.0,3.01,46.0,9.0,3.3,45.0,9.0,3.8
Greece,GRC,WE/EU,50,56,8,1.65,49.0,59.0,8.0,1.94,49.0,59.0,8.0,2.21,52.0,51.0,8.0,2.14,49.0,58.0,8.0,1.63,50.0,59.0,8.0,1.81,48.0,60.0,8.0,2.57,45.0,67.0,8.0,2.51,48.0,59.0,8.0,2.98,44.0,7.0,2.5,46.0,7.0,5.08,43.0,7.0,5.56,40.0,7.0,4.5,36.0,7.0,3.6
Grenada,GRD,AME,56,46,3,4.88,56.0,46.0,3.0,4.95,53.0,49.0,3.0,3.74,52.0,51.0,3.0,3.23,53.0,52.0,3.0,3.99,53.0,52.0,3.0,3.48,53.0,51.0,3.0,4.37,52.0,53.0,3.0,3.0,52.0,52.0,3.0,3.0,56.0,3.0,4.63,,,,,,,,,,,,
Guatemala,GTM,AME,26,142,7,1.13,25.0,146.0,7.0,1.5,23.0,154.0,7.0,1.36,24.0,150.0,7.0,1.13,25.0,150.0,7.0,1.17,25.0,149.0,7.0,1.38,26.0,146.0,7.0,2.23,27.0,144.0,7.0,2.56,28.0,143.0,7.0,2.19,28.0,6.0,2.58,28.0,6.0,3.46,32.0,6.0,2.96,29.0,6.0,2.6,33.0,6.0,2.7
