Year,Country,crime_index,foreign_investment,gepu,cpi_score,log_fdi,crime_index_std,cpi_score_std,gepu_std,foreign_investment_std,fdi_lag1,crime_lag1,cpi_lag1,fdi_change,crime_change,is_oecd,is_brics,development_level,time_trend,years_since_2012,crime_corruption_int,gepu_corruption_int,crime_corruption_ratio
2020,Chile,60.7,11447397288.6176,210.9532623291016,67.0,23.161028230069824,1.4838733563162536,0.36047395320962095,0.18788963704963,-0.6000576556404814,13579090978.7595,60.7,67.0,-15.698353398444043,0.0,1,0,Emerging,9,8,4066.9,14133.868576049807,1.8393939393939396
2021,Chile,60.7,15176902318.5544,208.0988922119141,67.0,23.4430405247538,1.4838733563162536,0.36047395320962095,0.16524614750351896,-0.5580065676778775,11447397288.6176,60.7,67.0,32.579502011737894,0.0,1,0,Emerging,10,9,4066.9,13942.625778198244,1.8393939393939396
2022,Chile,60.7,18771990469.19,271.124908447265,67.0,23.655631727164305,1.4838733563162536,0.36047395320962095,0.6652264868311978,-0.5174710631425063,15176902318.5544,60.7,67.0,23.6878914759862,0.0,1,0,Emerging,11,10,4066.9,18165.368865966753,1.8393939393939396
2023,Chile,60.7,18377361861.8,249.8270721435547,66.0,23.634385410481777,1.4838733563162536,0.3098049236420035,0.49627245708083323,-0.5219205979061579,18771990469.19,60.7,67.0,-2.102220369425889,0.0,1,0,Emerging,12,11,4006.2000000000003,16488.58676147461,1.785294117647059
2024,Chile,60.7,12521388616.3117,147.71092224121094,63.0,23.250704108314082,1.4838733563162536,0.15779783493915134,-0.31380678207585194,-0.5879481388468538,18377361861.8,60.7,66.0,-31.86514631167374,0.0,1,0,Emerging,13,12,3824.1000000000004,9305.788101196289,1.6405405405405407
2025,Chile,60.7,,380.56022953540105,63.0,,1.4838733563162536,0.15779783493915134,1.5333681248455986,,12521388616.3117,60.7,63.0,,0.0,1,0,Emerging,14,13,3824.1000000000004,23975.294460730267,1.6405405405405407
2012,China,23.1,241213868161.42,120.4490894,39.0,26.20894979666988,-1.8934655176238873,-1.0582588746836663,-0.5300727187288163,1.990615905588904,,,,,,0,1,Emerging,1,0,900.9000000000001,4697.5144866,0.37868852459016394
2013,China,23.1,290928431467.003,130.1575789,40.0,26.396343133893772,-1.8934655176238873,-1.007589845116049,-0.45305604903414187,2.5511598538620976,241213868161.42,23.1,39.0,20.6101596415319,0.0,0,1,Emerging,2,1,924.0,5206.303156,0.385
2014,China,23.1,268097181064.335,103.5485547,36.0,26.314615367639703,-1.8934655176238873,-1.2102659633865185,-0.6641433070168589,2.293731881176109,290928431467.003,23.1,40.0,-7.8477205845924765,0.0,0,1,Emerging,3,2,831.6,3727.7479691999997,0.3609375
2015,China,23.1,242489331627.398,98.03493372,37.0,26.214223553067136,-1.8934655176238873,-1.1595969338189012,-0.7078824206903388,2.004997070373615,268097181064.335,23.1,36.0,-9.551704100458968,0.0,0,1,Emerging,4,3,854.7,3627.29254764,0.3666666666666667
2016,China,23.1,174749584584.05,127.4782714,40.0,25.886619840856074,-1.8934655176238873,-1.007589845116049,-0.4743107808580744,1.2412147350183427,242489331627.398,23.1,37.0,-27.93514526545643,0.0,0,1,Emerging,5,4,924.0,5099.130856,0.385
2017,China,23.1,166083755721.648,306.037496,41.0,25.835758050599168,-1.8934655176238873,-0.9569208155484316,0.9421852478964893,1.143505379799183,174749584584.05,23.1,40.0,-4.958998262015291,0.0,0,1,Emerging,6,5,947.1,12547.537336,0.3915254237288136
2018,China,23.1,235365050036.341,265.0796087,39.0,26.184403550215936,-1.8934655176238873,-1.0582588746836663,0.617269608076742,1.924669040393461,166083755721.648,23.1,41.0,41.71467222285521,0.0,0,1,Emerging,7,6,900.9000000000001,10338.104739299999,0.37868852459016394
2019,China,23.1,187169822364.755,288.099468498562,41.0,25.95528218267845,-1.8934655176238873,-0.9569208155484316,0.799884312302725,1.3812559756764182,235365050036.341,23.1,39.0,-20.476798770312133,0.0,0,1,Emerging,8,7,947.1,11812.07820844104,0.3915254237288136
2020,China,23.1,253095616058.58,250.321903500956,42.0,26.25703318336202,-1.8934655176238873,-0.9062517859808141,0.5001979146103022,2.1245855401549756,187169822364.755,23.1,41.0,35.22244818149656,0.0,0,1,Emerging,9,8,970.2,10513.519947040153,0.39827586206896554
2021,China,23.1,344074977062.48,378.35705309334,45.0,26.5641254271477,-1.8934655176238873,-0.754244697277962,1.5158905025731224,3.150400247910263,253095616058.58,23.1,42.0,35.94663646123466,0.0,0,1,Emerging,10,9,1039.5,17026.0673892003,0.42000000000000004
2022,China,23.1,190203789092.51,319.071530807706,45.0,25.9713619084813,-1.8934655176238873,-0.754244697277962,1.0455832021893772,1.4154646979385788,344074977062.48,23.1,45.0,-44.72024943041085,0.0,0,1,Emerging,11,10,1039.5,14358.218886346769,0.42000000000000004
2023,China,23.1,51338076801.59,275.41359579382,42.0,24.66169855164861,-1.8934655176238873,-0.9062517859808141,0.6992483000899292,-0.15028041720719024,190203789092.51,23.1,45.0,-73.0089095246044,0.0,0,1,Emerging,12,11,970.2,11567.37102334044,0.39827586206896554
2024,China,23.1,18556141172.84,356.97471648219,43.0,23.644066631741868,-1.8934655176238873,-0.8555827564131968,1.3462661386510841,-0.5199048171325457,51338076801.59,23.1,42.0,-63.85501302560424,0.0,0,1,Emerging,13,12,993.3000000000001,15349.912808734169,0.4052631578947369
2025,China,23.1,,256.9,43.0,,-1.8934655176238873,-0.8555827564131968,0.5523814273273487,,18556141172.84,23.1,43.0,,0.0,0,1,Emerging,14,13,993.3000000000001,11046.699999999999,0.4052631578947369
2012,France,55.8,32944663317.8722,289.39776611328125,71.0,24.218095121738717,1.0437414285953304,0.5631500714800906,0.8101836033055343,-0.35767068538695146,,,,,,1,0,Advanced,1,0,3961.7999999999997,20547.24139404297,1.9241379310344826
2013,France,55.8,33461592993.8228,318.2390441894531,71.0,24.233664140272683,1.0437414285953304,0.5631500714800906,1.0389791525168492,-0.35184217594685363,32944663317.8722,55.8,71.0,1.5690847132445063,0.0,1,0,Advanced,2,1,3961.7999999999997,22594.972137451172,1.9241379310344826
2014,France,55.8,5063648998.48312,221.41378784179688,69.0,22.345353206290273,1.0437414285953304,0.46181201234485575,0.27087214820586775,-0.672035990225035,33461592993.8228,55.8,71.0,-84.86728052840192,0.0,1,0,Advanced,3,2,3850.2,15277.551361083984,1.7999999999999998
2015,France,55.8,43133325471.3567,178.69871520996094,70.0,24.487561748073603,1.0437414285953304,0.5124810419124731,-0.06798310212634252,-0.2427910096663666,5063648998.48312,55.8,69.0,751.8229735962708,0.0,1,0,Advanced,4,3,3906.0,12508.910064697266,1.8599999999999999
2016,France,55.8,35623357280.0881,241.42453002929688,69.0,24.296267363035938,1.0437414285953304,0.46181201234485575,0.4296157634098574,-0.32746775107640425,43133325471.3567,55.8,70.0,-17.411057712801913,0.0,1,0,Advanced,5,4,3850.2,16658.292572021484,1.7999999999999998
2017,France,55.8,43733253503.8812,462.9656066894531,70.0,24.501374599418053,1.0437414285953304,0.5124810419124731,2.187083382336344,-0.23602667330955324,35623357280.0881,55.8,69.0,22.76567073684037,0.0,1,0,Advanced,6,5,3906.0,32407.59246826172,1.8599999999999999
2018,France,55.8,77493098693.2377,221.1375732421875,72.0,25.07345472022109,1.0437414285953304,0.613819101047708,0.2686809599079392,0.14462389781612148,43733253503.8812,55.8,70.0,77.19490887262803,0.0,1,0,Advanced,7,6,4017.6,15921.9052734375,1.9928571428571427
2019,France,55.8,53499337503.7412,363.0477294921875,69.0,24.70293510766406,1.0437414285953304,0.46181201234485575,1.3944428644993676,-0.12591167037168335,77493098693.2377,55.8,72.0,-30.96244903623949,0.0,1,0,Advanced,8,7,3850.2,25050.293334960938,1.7999999999999998
2020,France,55.8,19368829836.4654,254.26959228515625,69.0,23.686930901413252,1.0437414285953304,0.46181201234485575,0.5315146135828993,-0.5107415522472581,53499337503.7412,55.8,69.0,-63.79613142852294,0.0,1,0,Advanced,9,8,3850.2,17544.60186767578,1.7999999999999998
2021,France,55.8,98012545019.163,276.37225341796875,71.0,25.308361317823973,1.0437414285953304,0.5631500714800906,0.7068532542477668,0.37598571003226844,19368829836.4654,55.8,69.0,406.0323511884867,0.0,1,0,Advanced,10,9,3961.7999999999997,19622.42999267578,1.9241379310344826
2022,France,55.8,112295479269.655,313.7880859375,72.0,25.44439944204486,1.0437414285953304,0.613819101047708,1.003670057161134,0.5370293122557263,98012545019.163,55.8,71.0,14.572557265704567,0.0,1,0,Advanced,11,10,4017.6,22592.7421875,1.9928571428571427
2023,France,55.8,18051596853.4685,296.3216552734375,71.0,23.616499986148412,1.0437414285953304,0.5631500714800906,0.8651102615102211,-0.5255936786261264,112295479269.655,55.8,72.0,-83.92491223077536,0.0,1,0,Advanced,12,11,3961.7999999999997,21038.837524414062,1.9241379310344826
