Year,Country,crime_index,foreign_investment,gepu
2022,Germany,38.4,87215414562.4594,478.20452880859375
2023,Germany,38.4,77438957875.1405,520.1256713867188
2024,Germany,38.4,47599143488.7827,729.8969116210938
2025,Germany,38.4,,1009.0558471679688
2012,Greece,46.2,1662090329.838,103.23512223365329
2013,Greece,46.2,2945271844.68568,86.26991876149066
2014,Greece,46.2,2697339246.05447,116.14199285275856
2015,Greece,46.2,1268938505.86333,163.42303197364623
2016,Greece,46.2,2698544612.16074,106.51759321634069
2017,Greece,46.2,3439131879.75516,134.5876787740653
2018,Greece,46.2,4025447788.57702,77.42102553198542
2019,Greece,46.2,4999635989.53692,115.79874619585124
2020,Greece,46.2,3303648833.22836,67.1252441687311
2021,Greece,46.2,6132475888.35529,53.63250324460932
2022,Greece,46.2,8057970156.10279,37.78620818452351
2023,Greece,46.2,4722066764.49033,86.95958998134046
2024,Greece,46.2,6742277267.34835,100.9803115682449
2025,Greece,46.2,,84.80376760005542
2012,India,44.2,23995685014.2141,183.1171112060547
2013,India,44.2,28153031270.3202,133.1490020751953
2014,India,44.2,34576643694.1382,95.17993927001952
2015,India,44.2,44009492129.5319,120.23883819580078
2016,India,44.2,44458571545.798,70.27962493896484
2017,India,44.2,39966091358.7384,84.12655639648438
2018,India,44.2,42117450737.2643,39.42573928833008
2019,India,44.2,50610647353.5911,64.73834991455078
2020,India,44.2,64362364994.3753,48.13543319702149
2021,India,44.2,44727277562.881,83.66126251220703
2022,India,44.2,49940258404.2659,70.02399444580078
2023,India,44.2,28086193530.3979,50.974876403808594
2024,India,44.2,27139853378.1402,129.90884399414062
2025,India,44.2,,169.2755889892578
2012,Ireland,49.0,58090414122.9928,165.844667625542
2013,Ireland,49.0,72540330763.7405,180.067956069359
2014,Ireland,49.0,104903896347.793,66.1005407254142
2015,Ireland,49.0,226022972770.416,132.510251426158
2016,Ireland,49.0,79795011377.5093,68.4646973294164
2017,Ireland,49.0,71124020351.904,162.541603520329
2018,Ireland,49.0,80581468516.7593,163.69993158856
2019,Ireland,49.0,31252184929.3129,202.67313163101
2020,Ireland,49.0,35288206770.2389,213.93728473817
2021,Ireland,49.0,77722796051.0396,258.9355486253357
2022,Ireland,49.0,-35575910807.5925,324.0050491033097
2023,Ireland,49.0,-139972323560.253,269.56233580964226
2024,Ireland,49.0,4818899599.81408,264.13127223452227
2025,Ireland,49.0,,390.880516056047
2012,Italy,47.3,34901033.014975,179.2625732421875
2013,Italy,47.3,19531411961.8184,171.18170166015625
2014,Italy,47.3,17032744039.0433,116.0104751586914
2015,Italy,47.3,13303439230.2377,99.27145385742188
2016,Italy,47.3,25656663794.7916,96.98987579345705
2017,Italy,47.3,8737024578.66006,112.9060287475586
2018,Italy,47.3,44249715319.1483,102.95852661132812
2019,Italy,47.3,35760550299.4852,169.9978485107422
2020,Italy,47.3,-17050399620.8672,127.8734130859375
2021,Italy,47.3,26253856510.1011,247.12469482421875
2022,Italy,47.3,61897757337.9736,123.73613739013672
2023,Italy,47.3,42019753074.4716,100.37407684326172
2024,Italy,47.3,26903748175.4513,105.67807006835938
2025,Italy,47.3,,98.46124267578124
2012,Japan,22.8,546962692.190725,138.48305228367312
2013,Japan,22.8,10648441636.2071,95.4401703347736
2014,Japan,22.8,19752249424.087,100.16888561309835
2015,Japan,22.8,5252218412.39171,91.16818508993478
2016,Japan,22.8,40954181468.5533,134.72781110698511
2017,Japan,22.8,18802251208.1068,143.1726348880837
2018,Japan,22.8,25289367857.8518,66.08329446181664
2019,Japan,22.8,39960544340.0141,129.4055804546203
2020,Japan,22.8,62584719398.0912,107.5727987903192
2021,Japan,22.8,35027163875.7213,115.78173120401388
2022,Japan,22.8,48153832744.0586,103.83975990837706
2023,Japan,22.8,20179993817.6998,100.72671787233588
2024,Japan,22.8,17174260938.7552,88.52006495845094
2025,Japan,22.8,,129.53045521525817
2012,Mexico,52.9,18231597858.0,68.6519628173204
2013,Mexico,52.9,50929783738.0,67.06057445581781
2014,Mexico,52.9,28438309725.0,46.55311457736281
2015,Mexico,52.9,36251149438.0,31.711336926933782
2016,Mexico,52.9,38899523620.0,53.313437195621695
2017,Mexico,52.9,33132345030.0,161.46822549445062
2018,Mexico,52.9,37859235431.0,66.29480293579725
2019,Mexico,52.9,29947415429.0,83.45544648970707
2020,Mexico,52.9,31541065129.0,110.98279000398534
2021,Mexico,52.9,35523119069.0,111.12366872895512
2022,Mexico,52.9,39068959282.0,85.1344894622657
2023,Mexico,52.9,31020352925.0,120.5654067582418
2024,Mexico,52.9,45334306255.0,
2025,Mexico,52.9,,
2012,Pakistan,42.4,859000000.0,71.4461648918217
2013,Pakistan,42.4,1333000000.0,56.75946928500228
2014,Pakistan,42.4,1887000000.0,80.05200796959033
2015,Pakistan,42.4,1673000000.0,35.438788648847044
2016,Pakistan,42.4,2576000000.0,26.97061608298733
2017,Pakistan,42.4,2496000000.0,65.31913869020755
2018,Pakistan,42.4,1737000000.0,70.65407995878091
2019,Pakistan,42.4,2234000000.0,128.440840779881
2020,Pakistan,42.4,2057000000.0,95.01275313465344
2021,Pakistan,42.4,2147000000.0,95.70694064086334
2022,Pakistan,42.4,1462000000.0,106.64540965496607
2023,Pakistan,42.4,2048000000.0,199.6260018745059
2024,Pakistan,42.4,2663000000.0,132.13154032522635
2025,Pakistan,42.4,,194.39274660334135
2012,Singapore,22.5,55310807547.7033,164.55990422412415
2013,Singapore,22.5,64389514904.4993,162.60103484539263
2014,Singapore,22.5,68698472830.5907,111.78857654401531
2015,Singapore,22.5,69774553124.9431,124.55816007961155
2016,Singapore,22.5,65133174223.0873,146.5004752814495
2017,Singapore,22.5,101969983887.611,275.8454969727438
2018,Singapore,22.5,83413645041.1155,185.7694649451723
2019,Singapore,22.5,106572526405.17,252.3981066560681
2020,Singapore,22.5,79753262990.0524,207.154690029162
2021,Singapore,22.5,145404929970.598,283.6749872355547
2022,Singapore,22.5,149723718568.665,233.8462332633296
2023,Singapore,22.5,132496437703.249,228.2839335804559
2024,Singapore,22.5,151941202883.727,267.6491460239597
2025,Singapore,22.5,,348.1387523224892
2012,Spain,37.6,19250404232.1962,148.67044067382812
2013,Spain,37.6,47143326585.2815,135.85504150390625
2014,Spain,37.6,31972292815.4555,131.92762756347656
2015,Spain,37.6,23777330434.0906,154.82034301757812
2016,Spain,37.6,44962670965.5697,158.0782470703125
2017,Spain,37.6,33577736758.6064,108.23075103759766
2018,Spain,37.6,63958429156.7585,112.77650451660156
2019,Spain,37.6,30322872791.4496,131.0411834716797
2020,Spain,37.6,37683095972.4205,142.4266357421875
2021,Spain,37.6,64626902393.5776,152.2834930419922
2022,Spain,37.6,67459796903.6798,124.22967529296876
2023,Spain,37.6,46961991977.1583,155.27496337890625
2024,Spain,37.6,42778827261.0579,129.10496520996094
2025,Spain,37.6,,191.9088897705078
2012,Sweden,47.9,4273531542.41648,74.66651295
2013,Sweden,47.9,1487752726.31221,107.4731204
2014,Sweden,47.9,-6039792919.86722,108.4015776
2015,Sweden,47.9,9777569491.28413,107.9964638
2016,Sweden,47.9,15470455705.9977,110.849344
2017,Sweden,47.9,24305209924.7369,134.3558552
2018,Sweden,47.9,-714153381.400275,122.518347404624
2019,Sweden,47.9,15692851350.2202,115.178637098609
2020,Sweden,47.9,18307766875.476,100.479008754881
2021,Sweden,47.9,57981119709.6784,114.098389307363
2022,Sweden,47.9,53904967740.7105,89.47613830483881
2023,Sweden,47.9,18672474196.9765,
2024,Sweden,47.9,31602836368.4031,
2025,Sweden,47.9,,
